name,city,state,country,reach,description,status,food-recovery-hierarchy,category,subcategories,solution,founded,website,facebook,twitter,linkedin,email
Hewn Bakery,Evanston,IL,USA,Local,"All of our breads are naturally fermented without any preservatives, chemicals or additives. We use 100% organic ingredients and each loaf is baked fresh everyday. Hewn offers a ""Spent Grain"" bread that is made from spent grain byproducts generated at local breweries. ",For-Profit,Prevention,Food Product Creation,Byproducts,Value-Added Processing,2013,http://hewnbread.com/,https://www.facebook.com/hewnbread,https://twitter.com/Hewnbread,,julie@hewnbread.com
Hidden Harvest,Coachella,CA,USA,Local,"Hidden Harvest is a produce ­recovery pro­gram­ that e­m­ploys l­o­w income farm workers to ""rescue"" produce that is left behind in the fields and orchards aft­er harvest.",Nonprofit,Recovery,Donation Transportation,Donation Transportation,Donation Transportation,2001,http://www.hiddenharvest.org/#who-we-are,https://www.facebook.com/HiddenHarvest,https://twitter.com/Hidden_Harvest,,christy@hiddenharvest.com
Homebiogas,Beit Yanai,,Israel,National,"HomeBiogas is a small size system which converts food and animal waste into clean, green biogas for cooking and liquid fertilizer. It brings off-the-grid, compact, and user-friendly waste-to-energy into your backyard.",For-Profit,Recycling,Renewable Energy from Organics (Anaerobic Digestion),Small Scale Anaerobic Digestion,,2010,http://www.homebiogas.com/,https://www.facebook.com/homebiogas/,https://twitter.com/Home_Biogas,https://www.linkedin.com/company/homebiogas,info@homebiogas.com
"Hometown Foods, LLC",Kinderhook,NY,USA,Local,"Hometown Foods, LLC supports the education of farmers, food entrepreneurs and consumers to grow, design, process and  market frozen and vacuum packed local and regional products made from unsold small and mid-scale local and regional farmers crops to meet the convenience and health needs of today’s consumers via a nearby Harvest Kitchen.",For-Profit,Prevention,Food Product Creation,Surplus Produce,Value-Added Processing,1998,http://hometownfoods.harvestkitchens.net/,https://www.facebook.com/Hometown-Foods-LLC-205949642848292/?ref=page_internal,,,
How2Compost,Charlottesville,VA,USA,National,"Launched in 2016, the How2Compost label program is an on-package label that let’s you know that the package is BPI-certified compostable and includes a helpful URL for more information about composting. The program is an extension of the highly successful How2Recycle label program. ",Nonprofit,Recycling,Consumer Education,Campaigns,Consumer Education Campaigns,2016,http://www.how2recycle.info/how2compost,https://www.facebook.com/How2Recycle/,https://twitter.com/How2Recycle,,INFO@GREENBLUE.ORG
Hummingbird,Victoria,British Columbia,Canada,National,"A Hummingbird Urban Biomass facility diverts organic waste not used for composting, and converts it to fuel. Because we use source separated organics only, and not mixed municipal trash, the fuel can supply clean energy in the form of heat and/or electricity.  At the end of the process all that is left is a mineral rich ash that can be beneficially returned to the earth.",For-Profit,Recycling,Specialty Recycled Products,Industrial Products,,2002,http://hummingbird-energy.com/,,,,info@hummingbird-energy.com
Hungry Harvest,Baltimore,MD,USA,Local,"Hungry Harvest is on a mission to reduce food waste and fight hunger in the United States. We are a produce delivery service that recovers produce - fruits and vegetables that would normally go to waste for cosmetic or logistical reasons - from farms and wholesalers. We then triage, hand-package, and deliver these fruits and vegetables in variety boxes to customers'​ homes at a discounted rate. ",For-Profit,Prevention,Secondary Marketplace,Farm to Buyer,Secondary Resellers,2014,http://www.hungryharvest.net/,https://www.facebook.com/HungryHarvest/,https://twitter.com/HungryHarvest,https://www.linkedin.com/company/hungry-harvest-llc?trk=top_nav_home,ritesh@hungryharvest.net
Impact Bioenergy,Seattle,WA,USA,National,"Impact Bioenergy’s distributed bioenergy solutions reduce energy & disposal costs by generating energy from adjacent organic waste streams. Our prefabricated bioenergy units are uniquely engineered and sized to allow organizations and communities to practice onsite bioenergy food waste diversion, thus substantially reducing multiple costs and generating a faster ROI than wind or solar.",For-Profit,Recycling,Renewable Energy from Organics (Anaerobic Digestion); On-Site Processing Solutions,Distributed Anaerobic Digestion,Centralized Anaerobic Digestion,2013,http://impactbioenergy.com/,https://www.facebook.com/impactbioenergy/,https://twitter.com/impactbioenergy,https://www.linkedin.com/company/impact-bioenergy,info@impactbioenergy.com
ImpactVision,Moffet Field,CA,USA,National,"Our mission is to build a more transparent and effective global food system, using hyperspectral technology. We are creating a software platform, which will provide information about the quality and characteristics of different foods non-invasively and rapidly, using image recognition and predictive learning.",For-Profit,Prevention,Supply Chain and Operational Efficiency,Improved Inventory Management,Improved Inventory Management,2015,http://www.impactvi.com/,,https://twitter.com/seeimpactvision,,
Imperfect Produce,San Francisco,CA,USA,Local,"In America, 1 in 5 fruits and vegetables grown don't fit grocery stores' strict cosmetic standards -- the crooked carrot, the curvy cucumber, the undersized apple -- usually causing them to go to waste. Imperfect's mission is to find a home for these ""ugly"" fruits and veggies, starting with our produce delivery subscription in the Bay. And because they look a little funny, you get the 30-50% off!",For-Profit,Prevention,Secondary Marketplace,Farm to Buyer,Secondary Resellers,2015,http://www.imperfectproduce.com/home,https://www.facebook.com/imperfectproduce,https://twitter.com/Imperfectfruit,,general@imperfectproduce.com
Industrial - Organic,New York,NY,USA,Local,A recycling facility to rapidly process organic waste with low odor and emissions.,For-Profit,Recycling,Specialty Recycled Products,Agricultural Products,,2014,http://www.industrialorganic.co/,,,,
Infratab,Oxnard,CA,USA,National,"Infratab, Inc. makes and sells smart sensors and software that answer the question, “How fresh is it?” Together these components make up Infratab Freshtime.  Infratab’s Freshtime technology platform simply and securely monitors, tracks and traces a perishable’s condition.",For-Profit,Prevention,Supply Chain and Operational Efficiency,Improved Inventory Management,Improved Inventory Management,2003,http://www.infratab.com/,,,,info@infratab.com
Innovation Thru Energy Co. Ltd,Tokyo,,Japan,National,We have disruptive IP that is capable of maintaining ‘constant’ temperature for +24 hours from -25C to 25C. This is called IceBattery(R) Systems(IBS) and is the ONLY portable refrigerated/freezer system in the world that can provide constant temperature. ,For-Profit,Prevention,Supply Chain and Operational Efficiency,Cold Chain Management,Cold Chain Management,2007,http://www.icebattery.jp/,,,,info@ithrue.com
Island Grown Initiative,Martha's Vineyard,MA,USA,Local,We support a resilient and equitable food system on Martha's Vineyard by providing food and agriculture education and developing infrastructure to make a year-round local food system viable.  ,Nonprofit,Recovery,Donation Transportation; Donated Food Processing,Donation Transportation; Donation Storage & Handling,Donation Transportation; Donation Storage & Handling,2006,http://www.igimv.org/,https://www.facebook.com/Island-Grown-38569332917/timeline/?ref=hl,,,office@igimv.org
It's Fresh!,Eden Prairie,MN,USA; United Kingdom,National,"Our breakthrough product is the It’s Fresh! filter, which includes our unique ‘e+ active’. It works by removing ethylene, the ripening hormone, away from fresh produce, creating a protected atmosphere or ‘Freshasphere’ around all types of fruits and vegetables. In transit, in stores and in the home.",For-Profit,Prevention,Shelf-Life Extension,Ethylene Inhibitor,,2010,http://www.itsfresh.com/default.asp,https://www.facebook.com/ItsFreshInc/,https://twitter.com/itsfreshInc,https://www.linkedin.com/company/it's-fresh-ltd,info@itsfresh.com
Joseph Joseph,New York,NY,USA,National,"Recycle your waste responsibly with our Intelligent Waste range. Our award-winning waste and recycling bin lets you keep all the elements of your recycling in separate compartments with their own special bin liners, making it easy when it’s time to put out the recycling. Buy your replacement liners, filters and accessories here too.",For-Profit,Recycling,Composting,Home Composting; Enhanced Container,Home Composting,2003,https://www.josephjoseph.com/en-us/cleaning/intelligent-waste,https://www.facebook.com/JosephJosephUS.official/,https://twitter.com/josephjoseph,https://www.linkedin.com/company/joseph-joseph-ltd?trk=top_nav_home,inquiries@josephjoseph.com
Josephine,Oakland,CA,USA,Local,An online marketplace for home cooked food. We hope to change the way people eat by unlocking the supply of locally home cooked meals while empowering cooks to make money feeding their neighborhood from their homes.,For-Profit,Prevention,Secondary Marketplace,Consumer to Consumer,Secondary Resellers,2014,https://josephine.com/about,https://www.facebook.com/josephinemeals,https://twitter.com/josephinemeals,https://www.linkedin.com/company/josephine?trk=top_nav_home,hello@josephine.com
Just Eggs,Leicester,,United Kingdom,National,"Formed in 2003, JustEgg is a Family run business which operates from a purpose built site in North Leicester. An hard-boiled egg producer that has found an innovative way to recycle egg shells into a powder which can be added to plastics to make them more durable.",For-Profit,Recycling,Specialty Recycled Products,Industrial Products,,2003,http://www.justegg.co.uk/,https://www.facebook.com/justeggltd/,https://twitter.com/justegguk,,
Keep Austin Fed,Austin,TX,USA,Local,"Keep Austin Fed is a volunteer-based nonprofit organization that helps feed hungry people by rescuing perishable surplus food from commercial kitchens and grocery stores, thereby also keeping this food out of the waste stream.  Keep Austin Fed provides pickup services for food donors, delivery services for recipient organizations, and this transportation conforms to industry food safety standards.",Nonprofit,Recovery,Donation Transportation,Donation Transportation,Donation Transportation,2004,http://keepaustinfed.org/,https://www.facebook.com/KeepAustinFed,https://twitter.com/keepaustinfed,https://www.linkedin.com/company/keep-austin-fed?trk=top_nav_home,donatefood@keepaustinfed.org
KinoSol,Ames,IA,USA,National,"KinoSol is a small-scale, solar powered dehydrator for fruits, vegetables and grains. It is fully powered with natural solar energy and uses no electric inputs. The goal of KinoSol is to end food waste, increase nutrient availability, and improve the livelihoods of subsistence farmers around the world.",For-Profit,Prevention,Shelf-Life Extension,Dehydrator,Value-Added Processing,2015,http://www.getkinosol.com/#savethethird,https://www.facebook.com/getkinosol/, https://twitter.com/KinoSolAg,https://www.linkedin.com/company/kinosol?trk=top_nav_home,getkinosol@gmail.com
Kitchens for Good,San Diego,CA,USA,Local,"Kitchens for Good develops social enterprise kitchens that provide culinary job training for the unemployed, while simultaneously transforming cosmetically imperfect produce into nutritious meals for the hungry. In addition to tackling issues of food waste, hunger and unemployment, we operate a profitable food and catering enterprise, Kitchens for Good Catering and Events, that creates livable wage jobs for culinary graduates, and generates significant profits to reinvest into social programs. ",Nonprofit,Recovery,Donation Transportation; Donated Food Processing,Donation Transportation; Donation Storage & Handling; Community Kitchen; Value-Added Processing,Donation Transportation; Donation Storage & Handling; Value-Added Processing,2014,http://kitchensforgood.org/,https://www.facebook.com/kitchensforgood, https://twitter.com/kitchensforgood,https://www.linkedin.com/company/kitchens-for-good?trk=top_nav_home,info@kitchensforgood.org
Knox - Rijk Zwaan,Salinas,CA,USA; Netherlands,National,"One of our most recent successful convenience innovations is Knox: a trait which reduces pinking in lettuce after cutting. As a result, Knox extends shelf life and therefore will reduce waste.",For-Profit,Prevention,Shelf-Life Extension,,,1924,https://www.rijkzwaanusa.com/,https://www.facebook.com/Rijk-Zwaan-USA-864957990243527/,https://twitter.com/RijkZwaan?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.linkedin.com/company/rijk-zwaan,contactusa@rijkzwaan.com
Kromkommer,Rotterdam,,Netherlands,Local,Kromkommer is a social enterprise that aims to contribute to the reduction of food waste. About 10% of vegetables is wasted simply because they don't look good enough or because there is too much of it. Our goal is to get these veggies back on our plates. We tell the story of this beloved produce with creative campaigns and our own line of wonky vegetable soups. ,For-Profit,Prevention,Food Product Creation,Surplus Produce,Value-Added Processing,2013,http://www.kromkommer.com/english/,www.facebook.com/kromkommer,https://twitter.com/Krommunity?lang=en,https://www.linkedin.com/company/kromkommer?trk=top_nav_home,info@kromkommer.com
LA Kitchen,Los Angeles,CA,USA,Local,"L.A. Kitchen partners with regional farmers and produce suppliers to purchase or recover fresh fruits and vegetables, and transforms it into nutritious snacks and meals that strengthen the community. L.A. Kitchen’s job training program prepares unemployed individuals, particularly youth aging out of foster care and older adults exiting the prison system, to build careers in the culinary industry. ",Nonprofit,Recovery,Donation Transportation; Donated Food Processing,Donation Transportation; Donation Storage & Handling; Community Kitchen; Value-Added Processing,Donation Transportation; Donation Storage & Handling; Value-Added Processing,2013,http://www.lakitchen.org/,https://www.facebook.com/thelakitchen/?ref=page_internal,https://twitter.com/thelakitchen,,join@lakitchen.org
La Soupe,Cincinnati,OH,USA,Local,"Headed by chef Suzy DeYoung, La Soupe rescues otherwise wasted produce to create delicious and highly-nutritious meals for customers, non-profits and food-insecure families. During the week we create soups, cassoulets, gumbos, stews and anything else that can be shared in a pot. On the weekend we create large batches of soup and deliver them to local partners who feed the hungry.",Nonprofit,Recovery,Donation Transportation; Donated Food Processing,Donation Transportation; Donation Storage & Handling; Value-Added Processing,Donation Transportation; Donation Storage & Handling; Value-Added Processing,2014,http://lasoupecincinnati.com/home/,https://www.facebook.com/lasoupecincinnati/,,,suzy@lasoupecincinnati.com
LastMinuteSottoCasa,Turin,,Italy,Local,"Food business owners can communicate in real-time to customers when you have close to expired products or items that remain unsold. With the app LastMinuteSottoCasa, communicate simultaneously to thousands of people around you who will receive your offers and will buy without sacrificing the quality of your products.",For-Profit,Prevention,Secondary Marketplace,Business to Buyer,Secondary Resellers,,http://www.lastminutesottocasa.it/,https://www.facebook.com/lastminutesottocasa/?ref=page_internal,https://twitter.com/LM_SottoCasa,,info@lastminutesottocasa.it
LeanPath,Portland,OR,USA,National,"LeanPath provides food waste prevention systems to the international hospitality, foodservice, and restaurant industries. The company's waste tracking technology helps foodservice operators reduce food waste, save food dollars and operate more sustainable facilities. LeanPath solutions include data collection terminals connected to scales and cameras, cloud-based analytics, and training and coaching services.",For-Profit,Prevention,Supply Chain and Operational Efficiency,Waste Tracking & Analytics,Waste Tracking & Analytics,2004,http://www.leanpath.com/,https://www.facebook.com/leanpath,https://twitter.com/leanpath,https://www.linkedin.com/company/leanpath-inc.?trk=top_nav_home,info@leanpath.com
Linpac,Melbourne,,Australia,National,"LINPAC champions the reduction of food waste through continuous innovation in packaging technology for the protection, preservation and presentation of your products. ",For-Profit,Prevention,Shelf-Life Extension,Spoilage Prevention Packaging ,Spoilage Prevention Packaging ,1959,http://www.linpacpackaging.com.au/en,https://www.facebook.com/linpacpackaging/,https://twitter.com/LINPACPackaging,https://www.linkedin.com/company/450808?trk=tyah,info@linpac.com
LiquiGlide,Cambridge,MA,USA,National,Billions of tons of products are wasted every year because they stick to their packaging. LiquiGlide drastically reduces the amount of waste by allowing products to easily evacuate their containers and avoid the landfill.,For-Profit,Prevention,Shelf-Life Extension,Packaging Adjustments,Packaging Adjustments,2012,http://liquiglide.com/,https://www.facebook.com/Liquiglide,https://twitter.com/LiquiGlide,https://www.linkedin.com/company/liquiglide,info@liquiglide.com
Little Herds,Austin,TX,USA,Local,"Little Herds is an educational nonprofit based in Austin, Texas, teaching the next generation about insects as a resource efficient, nutritious and delicious food or feed through experiential STEAM based programs; family friendly events; public advocacy outreach; and partnerships with educators, universities and other organizations.",Nonprofit,Recycling,Animal Feed,Black Soldier Fly Larvae,Animal Feed,2013,http://www.littleherds.org/,https://www.facebook.com/pg/LittleHerds/about/?ref=page_internal,https://twitter.com/LittleHerds?lang=en,,littleherds@gmail.com
Love Your Leftovers - App and Cookbook,New South Wales,,Australia,National,"Get the app today — for FREE — to stop wasting food. Not only will we help you find the perfect recipe for those leftover ingredients, we will also show you; how to plan your menu to avoid waste, and how to store leftover ingredients to keep them fresher for longer.",Nonprofit,Prevention,Consumer Education,Tools/Applications; Improved Inventory Management [Consumer Level],,2016,http://www.loveyourleftovers.nsw.gov.au/,https://www.facebook.com/loveyourleftoversapp/,https://twitter.com/lyloapp,,council@cumberland.nsw.gov.au
Lovin' Spoonfuls,Boston,MA,USA,Local,"Lovin’ Spoonfuls is an organization that facilitates the recovery and distribution of healthy, perishable food that would otherwise be discarded. Lovin’ Spoonfuls works efficiently to deliver this food directly to the community organizations and resources where it can have the greatest impact.",Nonprofit,Recovery,Donation Transportation; Donated Food Processing,Donation Transportation; Donation Storage & Handling,Donation Transportation; Donation Storage & Handling,2010,http://www.lovinspoonfulsinc.org/,https://www.facebook.com/lovinspoonfuls,https://twitter.com/lovinfoodrescue,https://www.linkedin.com/company/lovin%27%E2%80%8B-spoonfuls?trk=top_nav_home,info@lovinspoonfulsinc.org
Mad Agriculture,Boulder,CO,USA,Local,We harness the nutrient recycling abilities of insects to turn food waste into a protein rich feed supplement so we can be less dependent on unsustainable ingredients like fishmeal and soy.,For-Profit,Recycling,Animal Feed,Black Soldier Fly Larvae,Animal Feed,2016,http://www.madagriculture.org/,,https://twitter.com/mad_agriculture?lang=en,,
Manna Food Center - Community Food Rescue,Gaithersburg,MD,USA,Local,"Manna Food Center is at the center of ending hunger in Montgomery County. Community is at the heart of all we do – and our core programs deliver the nutritious food, life skills and connections that enable them to tap into their own capacities and thrive. Manna Food Center operates the ""Community Food Rescue"" program. ",Nonprofit,Recovery,Donation Coordination; Donation Transportation; Donated Food Processing,Donation Coordinator; Donation Matching Software; Donation Transportation; Donation Storage & Handling,Donation Matching Software; Donation Transportation; Donation Storage & Handling,1983,http://www.mannafood.org/,https://www.facebook.com/mannafoodcenter, https://twitter.com/mannafoodcenter,,info@mannafood.org
MealBoard,,,,National,"MealBoard combines recipe management, meal planning, groceries and pantry management into a single app. It is fully customizable. You can manage your recipes, ingredients, food categories, meal types, stores, store aisles, grocery items and many more with its clean, uncluttered interface.",For-Profit,Prevention,Consumer Education,Tools/Applications; Improved Inventory Management [Consumer Level],,,http://www.mealboard.com/,https://www.facebook.com/mealboard/,,,support@mealboard.com
MEANS Database,Washington D.C.,,USA,National,"MEANS (Matching Excess And Needs for Stability) Database is a nonprofit dedicated to improving communication between emergency feeding systems like food shelves and soup kitchens along with the donors who stock them.  In order to make this happen, we have partnered with nonprofits, companies, and a variety of other organizations to help us meet the needs within industries dedicated to fighting hunger. We are currently active in 45 different states.",Nonprofit,Recovery,Donation Coordination,Donation Coordinator; Donation Matching Software,Donation Matching Software,2012,https://www.meansdatabase.com/,https://www.facebook.com/pg/MEANS.Database/about/?ref=page_internal,https://twitter.com/meansdatabase,https://www.linkedin.com/company/means?trk=top_nav_home,hello@meansdatabase.com
Mesh Exchange,Vancouver,British Columbia,Canada,Local,Mesh Exchange is a B2B marketplace for surplus food.  Our platform streamlines the re-distribution process for unsold food by matching safe and nutritious food to alternative markets.,For-Profit,Prevention,Secondary Marketplace,Business to Business,Secondary Resellers,2016,http://meshxchange.com/,,https://twitter.com/meshexchange?lang=en,,
MintScraps,Irvine,CA,USA,National,"MintScraps is a cloud-based software platform that helps restaurants, grocery stores, and other businesses track their food waste and save money.  We help give businesses transparency into their waste streams so that they can take action on waste reduction and cost savings.",For-Profit,Prevention,Supply Chain and Operational Efficiency,Waste Tracking & Analytics,Waste Tracking & Analytics,2013,https://www.mintscraps.com/,,https://twitter.com/mintscraps,https://www.linkedin.com/company/mintscraps?trk=top_nav_home,info@mintscraps.com
MISFIT Juicery,Washington D.C.,,USA,National,"MISFIT makes cold-pressed juice from MISFIT fruits and veggies: produce that's perfectly good to eat but would get wasted otherwise because it's the wrong size, shape, or color to be sold at retail. In doing so, we're tackling the 6 billion pounds of produce that go unharvested or unsold every year in the U.S.—largely because of aesthetic standards.",For-Profit,Prevention,Food Product Creation,Surplus Produce,Value-Added Processing,2014,http://misfitjuicery.co/,https://www.facebook.com/misfitjuicery,https://twitter.com/misfitjuicery,https://www.linkedin.com/company/misfit-juicery?trk=top_nav_home,squad@mmisfitjuicery.co
MM Local Foods,Denver,CO,USA,National,"MM Local partners with local family farmers to can and preserve produce at the height of ripeness. It’s real, local food that tastes like it’s supposed to, _x0003_so we can all eat local and delicious, all year round.",For-Profit,Prevention,Food Product Creation,Surplus Produce,Value-Added Processing,2009,http://mmlocalfoods.com/,https://www.facebook.com/MM-Local-Foods-255292987235/,https://twitter.com/mmlocal,https://www.linkedin.com/company/mm-local-foods,info@mmlocalfoods.com
Moisson Montreal,Montreal,Quebec,Canada,Local,"We gather food donations and basic products all year long and free of charge, and distribute them to community organizations on the Island of Montreal. With your support, we have become the largest food bank in Canada distributing foodstuffs.",Nonprofit,Recovery,Donation Transportation; Donated Food Processing,Donation Transportation; Donation Storage & Handling,Donation Transportation; Donation Storage & Handling,2008,http://www.moissonmontreal.org/en/,https://www.facebook.com/moissonmtl,https://twitter.com/moissonmtl,https://www.linkedin.com/company/moisson-montreal,info@moissonmontreal.org
Move for Hunger,Asbury Park,NJ,USA,National,"Move For Hunger is a 501(c)3 non-profit organization that teams up with relocation companies across the country to fight hunger and reduce food waste, creating one of the nation’s largest year-round service programs. Our movers offer to pick up the unwanted, non-perishable food items from those who are moving and deliver it to their local food banks.",Nonprofit,Recovery,Donation Transportation,Donation Transportation,Donation Transportation,2009,https://moveforhunger.org/,https://www.facebook.com/moveforhunger,https://twitter.com/moveforhunger,https://www.linkedin.com/company/move-for-hunger?trk=top_nav_home,info@moveforhunger.org
What a Waste Program - National Foundation to End Senior Hunger,Alexandria,VA,USA,Local,"What a Waste is NFESH’s innovative, anti-hunger initiative for community-based nutrition programs that reduces food waste, increases program efficiency and helps the environment while providing new sources of healthful foods to those in need. NFESH's program includes a pilot with LeanPath's Waste Tracking & Analytics system. ",Nonprofit,Recovery,Supply Chain and Operational Efficiency,Waste Tracking & Analytics,Waste Tracking & Analytics,1995,http://www.nfesh.org/,https://www.facebook.com/NFESH,https://twitter.com/NFESH1,https://www.linkedin.com/company/3348269?trk=prof-0-ovw-curr_pos,nfesh@nfesh.org
neighbourly,Bristol,,United Kingdom,National,"neighbourly.com is the internet platform that helps communities and charities make a noise about the local projects they care about, and helps people and companies listen and understand how they might give support. Companies search for projects where CSR funds, employee volunteer time and food donations can make a difference. And the neighbourly engine matches them up to help activity get underway locally on a scale that's not been possible before.",For-Profit,Recovery,Donation Coordination,Donation Coordinator; Donation Matching Software,Donation Matching Software,2013,https://www.neighbourly.com/aboutfood/index,https://www.facebook.com/nbrlyuk,https://twitter.com/nbrly,https://uk.linkedin.com/company/neighbourly,hello@neighbourly.com
Neo Energy,Portsmouth,NH,USA,National,"NEO Energy is a renewable energy development company committed to helping corporations save and communities conserve. Our mission is to create viable and cost-saving ways to produce renewable power from food waste, while keeping that waste out of landfills and destroying—yes, destroying—greenhouse gases.",For-Profit,Recycling,Renewable Energy from Organics (Anaerobic Digestion),Centralized Anaerobic Digestion,Centralized Anaerobic Digestion,2014,http://www.neoenergyusa.com/,,,,rnicholson@neoenergyusa.com
Nenko Advisors International - RASP Post Harvest Solutions,New York,NY,USA,National,"RASP is an off-the-grid, alternative energy, agricultural cold storage facility aimed at preventing post-harvest loss of fruits and vegetables worldwide. ",For-Profit,Prevention,Supply Chain and Operational Efficiency,Cold Chain Management,Cold Chain Management,,http://nenkoai.com/RASP.html,,,,info@nenkoai.com
NewfoodZ,Littleton,CO,USA,National,"Food technology company that has combined 5 distinctive technologies to efficiently and naturally preserve, dehydrate and mill almost any raw food. The science behind NewfoodZ is its innovative, low-energy, chemical-free preservation and dehydration process. One of the side benefits of the process is that it produces potable water.",For-Profit,Prevention,Food Product Creation,Food Scraps; Fishery Bycatch,Value-Added Processing,2016,http://www.newfoodz.com/,,,,info@newfoodz.com
No Food Waste,,,India,National,"No Food Waste is an edible food Recovery Project which serves the surplus excess foods from Weddings, Parties and other events to the hungry and deprived.",Nonprofit,Recovery,Donation Coordination,Donation Coordinator; Donation Matching Software,Donation Matching Software,2014,https://www.nofoodwaste.in/,https://www.facebook.com/nofoodwaste.in/?ref=page_internal,https://twitter.com/nofoodwaste_org,,nofoodwaste.in@gmail.com
NoFoodWasted App,,,Netherlands,National,"Allows shoppers to see discounted food items that are nearing their ""best before"" date at participating supermarkets throughout the Netherlands. Users can also input their shopping list to the app and receive push notifications on their smartphones when an item on their list is discounted.",For-Profit,Prevention,Secondary Marketplace; Supply Chain and Operational Efficiency,Brick and Mortar; Improved Inventory Management,Improved Inventory Management,2014,http://www.nfdwstd.com/,https://www.facebook.com/NoFoodWasted/,https://twitter.com/nfdwstd/,,support@nofoodwasted.com
Nourish Now,Rockville,MD,USA,Local,"Nourish Now works to alleviate food insecurity in Montgomery County, MD and beyond by reducing the waste of unused fresh food. Nourish Now strives to meet this goal by collecting surplus fresh food from our dedicated food donor partners throughout the Washington D.C. metro area. Food is then redistributed directly to families in need and to over 60 other Montgomery County, Maryland nonprofit organizations that provide food assistance to those in need.",Nonprofit,Recovery,Donation Transportation; Donated Food Processing,Donation Transportation; Donation Storage & Handling,Donation Transportation; Donation Storage & Handling,2011,http://nourishnow.org/,https://www.facebook.com/NourishNow/,https://twitter.com/NourishNow?lang=en,https://www.linkedin.com/company/nourish-now?trk=top_nav_home,info@nourishnow.org
Nutrinsic Corporation,Glendale,CO,USA,National,"Nutrinsic is a pioneer in providing commercial nutrition solutions through the upcycling of unused nutrients. By recovering nutrients, we help food and beverage processors deliver clean water to the environment and eliminate the need to dispose of waste. This process creates an economically and environmentally sustainable source of premium protein for animal nutrition.",For-Profit,Recycling,Specialty Recycled Products,Agricultural Products,Animal Feed,2001,http://nutrinsic.com/,,,https://www.linkedin.com/company/nutrinsic-corporation?trk=top_nav_home,info@nutrinsic.com
NYC Compost Project,New York,NY,USA,Local,"The NYC Compost Project helps to reduce waste in NYC and rebuild City soils by giving New Yorkers the knowledge, skills, and opportunities they need to produce and use compost. ",Nonprofit,Recycling,Composting,Community Composting,Community Composting,1993,http://www1.nyc.gov/assets/dsny/zerowaste/residents/nyc-compost-project.shtml,https://www.facebook.com/NYCzerowaste/?fref=nf,,,compost@bigreuse.org
Obeo,Dublin,,Ireland,National,"Obeo food waste box is the convenient counter top solution to separating food waste at home. Simply fill Obeo with all household food waste. When full Obeo, along with its contents, goes directly into the organic bin and a new box is opened.",For-Profit,Recycling,Composting,Home Composting,Home Composting,2014,https://weareobeo.com/,https://www.facebook.com/WeAreObeo/?ref=page_internal,https://twitter.com/weareobeo/,https://www.linkedin.com/company/obeo-ltd.?trk=top_nav_home,hello@WeAreObeo.com
Oberon Fuels,San Diego,CA,USA,National,"Converting organics into DME (clean burning form of CNG) that trucks can run on. Oberon Fuels has developed proprietary skid-mounted, small-scale production units that convert methane and carbon dioxide to DME from various feedstocks, such as biogas and natural gas. This small-scale process circumvents the financial, infrastructure, and permitting challenges that large-scale projects confront. ",For-Profit,Recycling,Specialty Recycled Products,Industrial Products,,2010,http://www.oberonfuels.com/,,,https://www.linkedin.com/company/oberon-fuels?trk=top_nav_home,info@oberonfuels.com
Ohio Agricultural Clearance Program - Ohio Association of Food Banks,Columbus,OH,USA,Local,"The Ohio Agricultural Clearance Program (OACP) directs surplus agricultural products from more than 100 Ohio farmers, growers, and producers to Ohio’s 12 Feeding America foodbanks.",Nonprofit,Recovery,Donation Coordination,Donation Coordinator,,,http://ohiofoodbanks.org/programs/program-detail.php?id=3&page=10,https://www.facebook.com/OASHF/,https://twitter.com/ohiofoodbanks,https://www.linkedin.com/company/2122279?trk=NUS_DIG_CMPY-fol,
OLIO App,,,United Kingdom,National,"OLIO is a free app connecting neighbours with each other and with local shops so surplus food and other items can be shared, not thrown away.",For-Profit,Prevention; Recovery,Secondary Marketplace,Business to Buyer; Business to Business; Consumer to Consumer ,Secondary Resellers,2015,http://olioex.com/,https://www.facebook.com/olioex,https://twitter.com/olio_ex,,hello@olioex.com
OptiMiam,,,France,Local,This is a location-based mobile application that connects local shops to consumers around them in real-time to sell stocks of fresh products as flash exclusive offers.,For-Profit,Prevention,Secondary Marketplace,Business to Buyer,Secondary Resellers,2014,http://www.optimiam.com/index.html,https://www.facebook.com/OptiMiam,https://twitter.com/OptiMiam,https://www.linkedin.com/company/optimiam?trk=top_nav_home,Hello@optimiam.com
Orderly App,Atlanta,GA,USA,National,"We’ve built the Orderly App as an easy-to-use app that helps restaurants move away from the manual, time consuming processes that exist today. The result is paperless invoicing, automated accounting, painless inventory and food spending dashboards that help restaurants save time and save money.",For-Profit,Prevention,Supply Chain and Operational Efficiency,Improved Inventory Management,Improved Inventory Management,2012,http://www.getorderly.com/,https://www.facebook.com/getorderlynow,https://twitter.com/getorderlynow,https://www.linkedin.com/company/siftit-llc,info@getorderly.com
