name,city,state,country,innovator_level,description,business_model,food_recovery_hierarchy_options,innovator_category_options,innovator_subcategory_options,solutions,founded,website,facebook_url,twitter_url,linkedIn_url,email,lat,lng
"Total Organics Recycling, Inc.",Valley Park,MO,USA,local,"Total Organics Recycling provides commercial composting pickup service for a wide range of businesses and organizations, to help customers achieve further waste reduction goals and closing the circle.",For Profit,Recycling,,,centralized composting,2014,www.totalorganicsrecycling.com,,,,rgreathouse@stlcompost.com,,
TotalCtrl,,,Norway,,"Developer of software intended to combat food waste through a SaaS technology for tracking food expiration dates. The company's software helps in achieving control over product expiration dates, time management, budgets, and facilitating conscious consumer decisions, enabling grocery stores, hotels, restaurants, municipalities, food banks and other institutions around the world to run a sustainable business and reduce large amounts of food waste.",For Profit,Prevention,,,"Retail Surplus Tracking & Analytics, Restaurant & FS Surplus Tracking & Analytics",,,,,,charlotte@totalctrl.no,,
Treasure Coast Food Bank,Fort Pierce,FL,USA,local,TCFB's mission it to provide food and other essential to people who are food insecure,Non-Profit,Recovery,,,"donation-storage-and-capacity, donation-transportation",1988,stophunger.org,,,,jcruz@tcfoodbank.org,,
Umi Feeds,,,USA,,"Umi Feeds began organically.  What started out as not wanting to see good food go to waste has turned into so much more!  To date, we’ve served over 10,000 meals to homeless men and women in Atlanta, Miami, New York, and Mississippi. But we give more than just food. Over the years we have shared healthy meals, barber services, free yoga, clothing, personal hygiene products, books, and so much more. Our mission is to spread love through food!",Non-Profit,Recovery,,,"donation-storage-and-capacity, value-added processing, donation-transportation",,,,,,umi@umifeeds.org,,
"United Against Poverty, Inc.",Vero Beach,FL,USA,local,"United Against Poverty's mission is to serve those in poverty by providing crisis care, case management, transformative education, food and household subsidy, employment training and placement, personal empowerment training and active referrals to other collaborative social service providers.",Non-Profit,Recovery,,,donation-storage-and-capacity,2003,https://unitedagainstpoverty.org/,,,,keith@unitedagainstpoverty.org,,
Ventura County Public Health,Oxnard,CA,USA,local,"Waste-Free Ventura County was established to help fill the gaps in our food recovery network.  FOOD Share, the Feeding America food bank serves 200 pantries that serve 75,000 residents each month.   California enacted SB 1383 with targets for jurisdiction to establish an edible food recovery program.  The FOOD Share program only reaches 50% of Tier 1 generators.  That leaves thousands of food service generators in the County who are currently not participating in an edible food recovery program.  WFVC serves as the hub for the 10 cities and unincorporated areas in Ventura County with the goal to eliminate hunger and increase access to nutritional surplus food by reducing food waste and connecting food recovery organizations with food service generators.  ",Non-Profit,Recovery,,,"donation-storage-and-capacity, donation-transportation",2018,www.waste-freevc.org,,,,Jill.Santos@ventura.org,,
"Vermont Foodbank, Inc. ",Barre,VT,USA,local,"The Vermont Foodbank’s mission is to gather and share quality food and nurture partnerships so that no one in Vermont will go hungry. The Vermont Foodbank (VF) is Vermont's largest hunger-relief organization, and is the state's only food bank. In 2019 VF distributed more than 11.6 million pounds of food to 153,000 people, or nearly one in four persons in Vermont. ",Non-Profit,Recovery,,,"donation-storage-and-capacity, donation-transportation",1986,www.vtfoodbank.org,,,,jwilliams@vtfoodbank.org,,
LIVECART TECHNOLOGIES,McLean,VA,USA,local,"Livecart™ is an AI-powered, hyper-local, real-time marketplace, that enables farm stands, grocery stores, and restaurants with surplus perishable food products to find local consumers with an affinity for those products, in real-time, to buy them at the store’s discounted price, thereby delivering the triple bottom line of reducing food waste into the environment, reducing food waste financial losses by these stores, and reducing food insecurity by enabling struggling working heads of households to stretch their family food budgets by as much as 2X. This is critical as the majority of food banks provide free meals or portions to their clients on a limited number of days/month (typically 3 to 6), leaving the client to be looking for the best prices across multiple stores the other 24 days.",For Profit,Prevention,,,,2017,LIVECART.AI,,,,ALFRED@LIVECART.AI,,
Waste Not Arizona,Scottsdale,AZ,USA,local,"Waste Not is the only nonprofit agency in Arizona collecting prepared foods that would otherwise go to waste and delivering it directly to nonprofit agencies that serve those in need. All those served are low-income and most experience food insecurity, meaning that several times per week they are uncertain of where their next meal will come from. 

Our 65 partner agencies include homeless shelters, transitional housing, senior facilities, preschools, after-school programs, rehabilitation centers, and food pantries. Our efforts enable partner organizations to focus theirs on other critical needs of the children and families they serve, such as housing, employment, and education.",Non-Profit,Recovery,,,donation-transportation,1990,www.wastenotaz.org,,,,development@wastenotaz.org,,
We Don't Waste,Denver,CO,USA,local,"We Don’t Waste was founded in 2009 in an effort to address these important issues. Today, we are one of the largest food recovery organizations in Colorado. We focus on perishable items including fresh produce, lean proteins and dairy products. We supplement food provided by food assistance programs with fresh food reclaimed from our food donors. This allows our recipient organizations to consistently serve the hungry with healthy and wholesome meals without increasing their operating costs.",Non-Profit,Recovery,,,"donation-storage-and-capacity, donation-transportation",2009,www.wedontwaste.org,,,,arlan@wedontwaste.org,,
White Pony Express,Pleasant Hill,CA,USA,local,"The White Pony Express (WPE) mission is to help eliminate hunger and poverty by delivering the abundance all around us to those in need - with love. Through our innovative Food Rescue and unique General Store  ""Mobile Boutique"" efforts, WPE redistributes high-quality food, toys and clothing to neighbors in need. All services are provided free of charge, and WPE's growing circle of giving now includes 400+ in-kind donors and 170+ local nonprofit service partners across all of our programs. ",Non-Profit,Recovery,,,"donation-storage-and-capacity, donation-transportation",,,,,,erica@whiteponyexpress.org,,
Wholesome Wave,Bridgeport,CT,USA,local,"Founded in 2007 by James Beard Award-winning Chef Michel Nischan and former U. S. Secretary of Agriculture Gus Schumacher, Wholesome Wave addresses the complex issues of food insecurity with innovative food as medicine programs. These have included doubling SNAP for fruits and vegetables, the development of payment technologies, and designing and deploying Rx produce prescription programs nationally.  ",Non-Profit,Recovery,,,?,2007,www.wholesomewave.org,,,,eboni@kazanasstrategies.com,,
World Harvest Charities and Family Services,Los Angeles,CA,USA,local,"Established in 2007, World Harvest Food Bank is a non-profit organization that provides food, basic staples and living essentials to people who are at risk of hunger.    World Harvest Food Bank operates one branch facility in Los Angeles, following both the front line and warehouse food bank models. The Food Bank has a service area that assists families and individuals in 58 counties within the state of California. We currently distribute an average of 25 million pounds of food through our facility and our 200+ partner agencies, including food pantries, soup kitchens, shelters and after school programs for children.    Nearly 40% of the people served by the World Harvest Food Bank network are children, another 8.1% are elderly, and 31.8% of the families are working but struggling. These working families still encounter heavy financial difficulties and often must choose between eating and other basic necessities.    Goals and Services    Distribute high quality foods and non-food essentials to nonprofit agencies that serve the hungry.    Strengthen agencies directly responsible for distributing food and non-food items.    Extend Food Bank services to underserved communities within our service area.    Find ways to eliminate hunger.    Draw from our financial resources in effort to achieve our mission.    Community Benefits  Help in reducing the need for food among low income individuals and families.    Reducing the waste of food or essential living articles that would otherwise be discarded, because of surplus, or usability to sale.    Families and individuals are provided with foods such as vegetables and fruits that are essential for a balanced diet, but are costly for low income households.    Those benefitting from our programs, having access to a balanced meal with fruits, vegetables and cereals, reduced the danger factor of developing high blood pressure or diabetes, among other common ailments related to poor diets.",Non-Profit,Recovery,,,"donation-storage-and-capacity, donation-transportation",2007,www.worldharvestla.org,,,,glen@worldharvestfoodbank.org,,
Wyoming Food for Thought Project,Casper,WY,USA,local,"Wyoming Food for Thought Project works to create a local solution to hunger whereby every single person in our community has direct and equitable access to good and healthy food year-round. This work includes hunger relief for children, food rescue, food is free gardens, statewide networking, farmer's markets, a food hub, and food processing from the garden to the table. All of this work is done with the intention of ending hunger for everyone in our community by strengthening the local food system.",Non-Profit,Recovery,,,"donation-storage-and-capacity, donation-transportation",2012,www.wyfftp.rg,,,,jpurcell@wyfftp.org,,
York County Food Bank,York,PA,USA,local,"The York County Food Bank’s mission is to end hunger in York County by working with partner agencies to increase the quantity of—and dignified access to—high quality, nutritious food for everyone who needs it.",Non-Profit,Recovery,,,"donation-storage-and-capacity, donation-transportation",1982,https://yorkfoodbank.org/,,,,intern@yorkfoodbank.org,,
